Date,Open,High,Low,Close,Volume,USD3MTD156N,BAMLH0A0HYM2,T10YIE,UNRATE,VIXCLS,NIKKEI225,NASDAQCOM,MS_Close,MS_Volume,JPM_Close,JPM_Volume,WFC_Close,WFC_Volume,C_Close,C_Volume,BAC_Close,BAC_Volume,BCS_Close,BCS_Volume,HSBC_Close,HSBC_Volume,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,fft3,fft6,fft9,ARIMA
2009-12-31,143.8379279600523,146.27980374368167,143.52839514915215,145.17063903808594,6401800,,,,,,,,24.83966827392578,9876900.0,31.995502471923828,20143100.0,20.155929565429688,28942400.0,30.026762008666992,19875800.0,13.354500770568848,94322600.0,12.20753002166748,990000.0,32.98896408081055,415200.0,,,145.17063903808594,145.17063903808594,0.0,,,,145.17063903808594,,166.87863456855814,167.46346132872674,162.1511190038646,166.51853481829758
2010-01-04,146.21109946532226,149.8223088774537,145.74679342794062,148.8163299560547,9135000,,,,,,,,25.938982009887695,20371000.0,32.9410400390625,35460500.0,20.402374267578125,39335700.0,30.843196868896484,40679300.0,13.91315746307373,180845200.0,12.71386432647705,2144300.0,33.6997184753418,1154200.0,,,147.06359393780048,147.145388285319,0.08179434751852455,,,,147.90490722656247,0.02511314231393791,166.70394056817617,167.12835444313146,161.54769346895452,169.4226006160586
2010-01-05,148.7475167650466,151.55049993013066,148.377803801176,151.44732666015625,11659400,,,,,,,,26.887258529663086,22523400.0,33.57912063598633,41208300.0,20.962465286254883,55416000.0,32.02248764038086,66861700.0,14.365398406982422,209521300.0,13.414410591125488,2710600.0,34.23710632324219,1466100.0,,,148.6386265423334,148.8244358265372,0.18580928420379905,,,,150.3573514498197,0.017679489239376345,166.52918652082244,166.7933950377049,160.9461425640431,164.12227525222505
2010-01-06,150.79382411183522,150.79382411183522,149.40091983031473,149.83082580566406,7381100,,,,,,,,27.2313175201416,17028500.0,33.763607025146484,27729000.0,20.992338180541992,33237000.0,33.02037048339844,67433800.0,14.533883094787598,205257900.0,13.643301010131836,2124100.0,34.277549743652344,771000.0,,,148.97191335775403,149.14211381276445,0.17020045501041636,,,,150.00194664001464,-0.010673683650551102,166.35437314950624,166.4586121459048,160.34657183879403,167.49606377507783
2010-01-07,149.88243968914782,153.69140069278185,149.56430031597466,152.76280212402344,8727400,,,,,,,,27.62572479248047,18693000.0,34.432430267333984,44864700.0,21.75406265258789,61649000.0,33.111080169677734,67245100.0,15.01272964477539,320868400.0,14.149633407592773,3932100.0,34.16775894165039,607200.0,,,149.85103609854767,150.12584188667802,0.27480578813035095,,,,151.85012262517756,0.01956857877939111,166.17950118005655,166.1240347558573,159.7490862653611,166.81804091756277
2010-01-08,151.6106643928489,152.55644980124939,149.56430746099136,149.87384033203125,7268100,,,,,,,,27.06348419189453,15993400.0,34.347869873046875,33110100.0,21.552431106567383,35508700.0,32.56679153442383,62409700.0,14.879714965820312,220104700.0,14.274489402770996,3055200.0,34.09265899658203,2143700.0,,,149.85560360463438,150.06459225114634,0.2089886465119548,,,,150.53079131409362,-0.018911421837148112,166.00457134118517,165.7896918059129,159.15379021110442,168.64467379941811
2010-01-11,150.51875810198428,150.51875810198428,146.6152155408613,147.50941467285156,7704900,,,,,,,,26.887258529663086,10088500.0,34.23255157470703,31878700.0,21.507619857788086,24387800.0,32.92966079711914,47557600.0,15.01272964477539,168991600.0,14.309165954589844,2392400.0,34.11576843261719,2078400.0,149.3444540841239,,149.43834606543783,149.49441331443404,0.0560672489962144,,,,148.51561878759276,-0.01577610645020855,165.8295843645497,165.45561218020813,158.56078741148747,167.0171550689494
2010-01-12,146.1766635611071,146.5807763340727,143.6144269458915,144.29368591308594,10360100,,,,,,,,26.123600006103516,14813400.0,33.433048248291016,47109600.0,20.969932556152344,39795000.0,31.931791305541992,47011800.0,14.507283210754395,223486800.0,14.101079940795898,2637300.0,33.977081298828125,918300.0,149.21917506626673,,148.60941383882874,148.40910166513612,-0.20031217369262322,,,,145.70056781303592,-0.02180015944675473,165.65454098481595,165.12182470423411,157.97018094316314,168.16941115124797
2010-01-13,144.4569965436794,145.88428748541008,142.8319525330572,145.368408203125,11269500,,,,,,,,26.232696533203125,18715500.0,34.017295837402344,39622000.0,21.343326568603516,36715300.0,31.750356674194336,41035100.0,14.737834930419922,192609900.0,14.371594429016113,1757000.0,34.01174545288086,1197800.0,148.72661481584822,,148.12902565402482,147.8075442710267,-0.32148138299811535,,,,145.4791168222194,0.007448158824402196,165.4794419397202,164.7883581404121,157.38207319725768,167.823927984439
2010-01-14,144.44847530716314,146.78716595695,143.76922932094422,144.9041748046875,10521400,,,,,,,,26.18234634399414,24690000.0,34.35554885864258,37938300.0,21.649507522583008,31540700.0,31.841064453125,27417000.0,14.915188789367676,142634200.0,14.55192756652832,1465700.0,33.838401794433594,1448900.0,147.79187883649553,,147.68402762328307,147.2573568855337,-0.4266707377493617,,,,145.09581565262584,-0.0031934957820327625,165.30428797013087,164.45524118367683,156.7965658528612,168.75365152843182
